Team Score,Opp Score,Home/Away,Opponent,Team FG%,Opponent FG%,Team 3P%,Opponent 3P%,Team AST,Team TOV,Opponent AST,Opponent TOV,Team FGA,Team FTA,Opponent FGA,Opponent FTA,Team ORB,Opponent ORB,ORtg,DRtg,Ast_Tov_Team,Ast_Tov_Opp,Possession,Team,Opponent_num
107,102,0,NOP,0.446,0.413,0.33299999999999996,0.158,18,24,31,11,83,33,92,26,11,5,100.45769275906584,95.76340805069829,0.75,2.8181818181818183,106.51249999999999,18,28
113,115,1,POR,0.38,0.45899999999999996,0.261,0.313,19,17,23,15,100,39,98,21,16,5,94.36325678496868,96.03340292275574,1.1176470588235294,1.5333333333333334,119.75,18,23
102,105,0,TOR,0.40700000000000003,0.466,0.409,0.25,14,8,16,7,81,35,88,25,11,11,111.1716621253406,114.44141689373298,1.75,2.2857142857142856,91.75,18,2
102,99,0,MIN,0.48100000000000004,0.39799999999999996,0.273,0.409,24,20,20,16,81,25,88,25,7,14,101.6189290161893,98.63013698630137,1.2,1.25,100.375,18,29
86,103,0,DET,0.33,0.47600000000000003,0.28,0.35,15,16,22,13,94,20,84,22,16,9,81.1512149091767,97.1927341354093,0.9375,1.6923076923076923,105.975,18,13
123,107,0,BOS,0.524,0.456,0.478,0.32,21,17,31,11,84,31,90,21,9,11,122.57100149476831,106.6268061783757,1.2352941176470589,2.8181818181818183,100.35,18,3
107,108,0,MEM,0.5,0.512,0.41700000000000004,0.292,24,22,29,14,70,34,86,19,6,8,114.3315079471083,115.40002671296914,1.0909090909090908,2.0714285714285716,93.5875,18,24
101,125,1,GSW,0.40399999999999997,0.541,0.361,0.467,26,18,33,15,94,17,85,20,17,9,95.02528519346114,117.60555098200636,1.4444444444444444,2.2,106.2875,18,30
95,106,1,DET,0.429,0.511,0.36,0.222,15,15,23,9,84,19,90,14,14,11,104.00985356507458,116.05309976734637,1.0,2.5555555555555554,91.3375,18,13
105,112,0,POR,0.396,0.39399999999999996,0.379,0.276,11,18,21,7,91,29,99,32,16,14,101.95412064570941,108.75106202209004,0.6111111111111112,3.0,102.98750000000001,18,23
120,104,1,PHO,0.484,0.494,0.47100000000000003,0.4,23,14,14,16,93,24,79,29,14,7,109.00420120358805,94.4703077097763,1.6428571428571428,0.875,110.0875,18,25
