Team Score,Opp Score,Home/Away,Opponent,Team FG%,Opponent FG%,Team 3P%,Opponent 3P%,Team AST,Team TOV,Opponent AST,Opponent TOV,Team FGA,Team FTA,Opponent FGA,Opponent FTA,Team ORB,Opponent ORB,ORtg,DRtg,Ast_Tov_Team,Ast_Tov_Opp,Possession,Team,Opponent_num
92,108,1,LAC,0.40700000000000003,0.39299999999999996,0.25,0.364,21,19,23,14,91,23,107,13,12,17,90.59576563269326,106.35155096011817,1.105263157894737,1.6428571428571428,101.55,16,17
132,130,0,PHO,0.516,0.489,0.462,0.483,22,18,17,19,93,33,92,38,5,10,109.21501706484642,107.5602440790154,1.2222222222222223,0.8947368421052632,120.8625,16,25
112,119,1,NOP,0.489,0.5660000000000001,0.33299999999999996,0.313,27,17,26,18,90,20,83,21,9,6,102.06173823897939,108.44059687891561,1.588235294117647,1.4444444444444444,109.7375,16,28
102,99,1,WAS,0.446,0.41100000000000003,0.233,0.231,27,21,20,13,92,16,95,23,6,7,91.26495917682587,88.58069567162511,1.2857142857142858,1.5384615384615385,111.76249999999999,16,10
92,101,1,TOR,0.456,0.43,0.13,0.24100000000000002,20,21,27,12,79,24,93,20,9,9,94.89427539969057,104.17741103661682,0.9523809523809523,2.25,96.95,16,2
81,96,0,UTA,0.38299999999999995,0.46799999999999997,0.22699999999999998,0.419,17,16,18,21,81,20,79,13,14,14,86.78184009642426,102.85255122539172,1.0625,0.8571428571428571,93.3375,16,21
113,93,1,DET,0.495,0.436,0.462,0.303,30,14,21,12,91,14,94,3,11,10,115.85287709855186,95.34794309880816,2.142857142857143,1.75,97.5375,16,13
110,113,0,POR,0.544,0.465,0.222,0.409,16,11,22,12,79,27,86,27,2,10,113.0233752889802,116.10583097867968,1.4545454545454546,1.8333333333333333,97.325,16,23
124,112,1,BRK,0.511,0.40700000000000003,0.429,0.237,26,16,23,16,94,27,91,38,7,8,105.14043455219925,94.9655537890832,1.625,1.4375,117.9375,16,7
107,102,1,MEM,0.47100000000000003,0.46,0.33299999999999996,0.297,25,16,23,12,85,23,87,14,8,6,106.16395882425897,101.20302616891976,1.5625,1.9166666666666667,100.7875,16,24
96,107,0,BOS,0.435,0.38799999999999996,0.20800000000000002,0.24100000000000002,16,20,20,13,85,23,98,31,12,16,95.6890107151757,106.65337652628956,0.8,1.5384615384615385,100.32499999999999,16,3
95,111,0,WAS,0.36,0.518,0.13,0.33299999999999996,17,19,20,19,86,41,83,20,17,7,88.38237004302826,103.2678218397488,0.8947368421052632,1.0526315789473684,107.4875,16,10
90,98,0,MIL,0.419,0.41200000000000003,0.273,0.261,21,21,16,12,74,37,85,26,8,9,92.81938893902282,101.07000128915817,1.0,1.3333333333333333,96.9625,16,1
100,93,0,PHO,0.424,0.389,0.424,0.26899999999999996,17,16,15,15,92,13,95,20,9,11,94.93295360151892,88.2876468494126,1.0625,1.0,105.3375,16,25
109,115,1,PHI,0.385,0.488,0.111,0.21899999999999997,18,9,27,16,109,27,86,30,22,8,90.80495678433823,95.80339477246694,2.0,1.6875,120.0375,16,6
113,122,1,PHO,0.495,0.466,0.28,0.406,26,19,28,13,91,24,103,19,9,9,104.42416541527086,112.74113434215084,1.368421052631579,2.1538461538461537,108.2125,16,25
127,109,1,DEN,0.53,0.429,0.375,0.419,36,15,18,20,100,16,84,35,13,17,110.80815792343768,95.1030646744465,2.4,0.9,114.6125,16,18
103,94,1,CHI,0.4,0.38299999999999995,0.325,0.306,23,12,22,14,90,25,94,16,12,15,103.7914094974178,94.72225721123567,1.9166666666666667,1.5714285714285714,99.2375,16,11
102,113,0,SAC,0.5,0.5529999999999999,0.517,0.47600000000000003,27,17,26,17,78,15,85,14,4,10,107.49571861414833,119.08839415096826,1.588235294117647,1.5294117647058822,94.8875,16,27
115,120,0,LAC,0.484,0.48200000000000004,0.36700000000000005,0.35700000000000004,23,16,19,17,91,24,85,30,12,10,105.19094443174022,109.76446375485935,1.4375,1.1176470588235294,109.325,16,17
123,127,1,GSW,0.495,0.5,0.375,0.4,30,17,30,22,95,25,94,28,7,12,104.60295524609333,108.0046773679175,1.7647058823529411,1.3636363636363635,117.5875,16,30
