Team Score,Opp Score,Home/Away,Opponent,Team FG%,Opponent FG%,Team 3P%,Opponent 3P%,Team AST,Team TOV,Opponent AST,Opponent TOV,Team FGA,Team FTA,Opponent FGA,Opponent FTA,Team ORB,Opponent ORB,ORtg,DRtg,Ast_Tov_Team,Ast_Tov_Opp,Possession,Team,Opponent_num
96,106,0,UTA,0.46799999999999997,0.506,0.48100000000000004,0.375,21,20,28,15,77,12,81,16,7,6,101.42630744849446,111.9915478077126,1.05,1.8666666666666667,94.65,18,21
96,79,1,SAC,0.435,0.365,0.33299999999999996,0.364,25,16,15,13,85,20,85,13,18,12,103.96642750778393,85.5557059699472,1.5625,1.1538461538461537,92.3375,18,27
104,109,1,WAS,0.488,0.44,0.348,0.3,27,23,24,15,80,23,84,28,9,10,102.3496124984623,107.27026694550375,1.173913043478261,1.6,101.6125,18,10
93,110,0,CHO,0.38,0.469,0.258,0.419,18,13,17,14,100,15,81,26,18,10,85.13559903879163,100.6980203684632,1.3846153846153846,1.2142857142857142,109.2375,18,9
105,100,0,ATL,0.462,0.41600000000000004,0.2,0.424,25,11,23,12,91,23,89,12,11,11,105.19724483406388,100.18785222291797,2.272727272727273,1.9166666666666667,99.8125,18,14
124,111,0,BRK,0.5,0.406,0.55,0.387,23,6,24,15,94,22,96,31,4,17,116.33634337985224,104.13979125131934,3.8333333333333335,1.6,106.5875,18,7
110,116,0,NYK,0.41200000000000003,0.5,0.439,0.406,20,13,27,22,85,31,82,23,13,11,106.46019840309704,112.26711831599323,1.5384615384615385,1.2272727272727273,103.32499999999999,18,12
129,111,1,TOR,0.534,0.494,0.5,0.355,35,12,20,13,88,29,85,25,9,9,123.65204888569374,106.39827462257368,2.9166666666666665,1.5384615384615385,104.325,18,2
95,94,1,MIA,0.45,0.46799999999999997,0.391,0.405,17,17,23,23,80,25,77,11,13,8,96.88934217236105,95.8694543600204,1.0,1.0,98.05,18,5
108,127,1,GSW,0.46,0.5489999999999999,0.25,0.45,26,17,38,13,87,27,91,17,9,7,103.39875538535183,121.58927716610819,1.5294117647058822,2.923076923076923,104.45,18,30
112,104,1,BRK,0.473,0.42700000000000005,0.265,0.314,26,19,22,25,93,20,89,22,9,8,96.15797381412321,89.28954711311441,1.368421052631579,0.88,116.475,18,7
102,94,1,OKC,0.46299999999999997,0.42200000000000004,0.33299999999999996,0.36700000000000005,27,18,16,16,82,22,90,14,14,18,111.41452758055705,102.67613326051337,1.5,1.0,91.55000000000001,18,20
125,107,1,ORL,0.529,0.47100000000000003,0.414,0.355,29,12,24,12,87,27,87,20,13,8,125.42330364981815,107.36234792424433,2.4166666666666665,2.0,99.6625,18,8
