Team Score,Opp Score,Home/Away,Opponent,Team FG%,Opponent FG%,Team 3P%,Opponent 3P%,Team AST,Team TOV,Opponent AST,Opponent TOV,Team FGA,Team FTA,Opponent FGA,Opponent FTA,Team ORB,Opponent ORB,ORtg,DRtg,Ast_Tov_Team,Ast_Tov_Opp,Possession,Team,Opponent_num
119,128,0,POR,0.484,0.44,0.233,0.35100000000000003,23,15,21,16,93,29,100,29,8,14,106.94226016625477,115.03033026286226,1.5333333333333334,1.3125,111.275,16,23
115,124,1,HOU,0.48,0.45799999999999996,0.25,0.381,28,10,22,16,100,18,96,30,9,13,101.41093474426808,109.34744268077601,2.8,1.375,113.4,16,19
142,143,1,SAS,0.514,0.515,0.359,0.536,33,15,32,9,107,26,97,38,13,10,115.72942135289324,116.54441727791362,2.2,3.5555555555555554,122.69999999999999,16,26
131,113,0,PHO,0.52,0.524,0.35700000000000004,0.32299999999999995,34,8,27,19,100,23,84,21,11,9,114.96270293988593,99.16630100921458,4.25,1.4210526315789473,113.94999999999999,16,25
121,114,1,DEN,0.5,0.5,0.345,0.261,27,13,22,19,92,23,92,20,9,10,111.30274807404852,104.8637461193515,2.076923076923077,1.1578947368421053,108.7125,16,18
106,110,0,SAS,0.47700000000000004,0.484,0.39399999999999996,0.188,19,17,20,13,86,18,91,24,7,12,104.45922641044594,108.40108401084012,1.1176470588235294,1.5384615384615385,101.475,16,26
120,124,0,MIN,0.47100000000000003,0.429,0.364,0.483,24,18,26,14,104,15,98,30,17,20,106.96378830083566,110.52924791086352,1.3333333333333333,1.8571428571428572,112.1875,16,29
114,113,1,DAL,0.512,0.5,0.588,0.44799999999999995,23,20,24,23,84,24,86,19,8,10,106.82909687243762,105.89199953145132,1.15,1.0434782608695652,106.7125,16,22
114,110,0,POR,0.523,0.423,0.381,0.171,20,20,20,14,86,25,104,22,9,16,112.13574326816673,108.20115578507317,1.0,1.4285714285714286,101.6625,16,23
107,121,1,TOR,0.45899999999999996,0.5,0.25,0.28600000000000003,25,16,32,12,85,29,98,14,6,13,107.30851197191926,121.3488780243199,1.5625,2.6666666666666665,99.7125,16,2
114,110,1,MIN,0.484,0.451,0.441,0.5,32,16,22,15,91,14,91,9,12,11,113.47517730496452,109.49359213636929,2.0,1.4666666666666666,100.4625,16,29
101,86,0,SAC,0.414,0.348,0.316,0.24,23,14,11,19,99,17,92,20,17,13,92.41679057531739,78.69152464829007,1.6428571428571428,0.5789473684210527,109.2875,16,27
107,106,1,ATL,0.424,0.43200000000000005,0.368,0.35100000000000003,28,22,25,17,92,24,95,13,17,10,100.19899332787077,99.26255413789067,1.2727272727272727,1.4705882352941178,106.7875,16,14
126,117,1,POR,0.473,0.441,0.469,0.424,25,13,24,14,93,26,93,23,11,11,117.60588029401471,109.20546027301366,1.9230769230769231,1.7142857142857142,107.13749999999999,16,23
117,130,0,ORL,0.478,0.5379999999999999,0.33299999999999996,0.344,22,14,28,13,90,25,93,23,8,11,111.0056925996205,123.33965844402277,1.5714285714285714,2.1538461538461537,105.4,16,8
113,97,0,MIA,0.442,0.402,0.40700000000000003,0.406,16,9,20,12,95,21,87,19,14,12,110.78431372549021,95.09803921568627,1.7777777777777777,1.6666666666666667,102.0,16,5
109,105,0,CLE,0.513,0.382,0.36,0.382,23,15,18,3,78,28,102,15,7,15,126.43178193417428,121.79208351457153,1.5333333333333334,6.0,86.2125,16,15
90,83,1,UTA,0.456,0.38799999999999996,0.304,0.174,10,23,22,19,79,18,85,17,5,7,87.96579108124618,81.1240073304826,0.43478260869565216,1.1578947368421053,102.3125,16,21
104,108,1,ORL,0.46799999999999997,0.452,0.385,0.355,22,18,31,13,79,31,93,14,5,9,105.91979630808402,109.99363462762572,1.2222222222222223,2.3846153846153846,98.1875,16,8
85,117,0,DEN,0.391,0.485,0.14300000000000002,0.36,19,12,28,11,87,18,97,15,8,16,90.10202729561415,124.02279051278653,1.5833333333333333,2.5454545454545454,94.3375,16,18
104,96,1,IND,0.488,0.37200000000000005,0.292,0.435,25,18,23,17,86,23,86,27,11,10,99.16567342073897,91.53754469606675,1.3888888888888888,1.3529411764705883,104.875,16,4
114,103,1,DAL,0.488,0.395,0.3,0.256,23,17,20,16,86,32,86,34,9,9,104.41950996107165,94.34394321044194,1.3529411764705883,1.25,109.17500000000001,16,22
120,96,1,PHO,0.5,0.39799999999999996,0.40700000000000003,0.39399999999999996,26,19,24,15,92,23,93,11,11,7,111.03400416377515,88.82720333102013,1.368421052631579,1.6,108.07499999999999,16,25
121,113,1,SAS,0.47700000000000004,0.44799999999999995,0.359,0.259,21,12,18,10,88,33,96,20,6,11,117.37601552079543,109.61561780041227,1.75,1.8,103.0875,16,26
120,133,0,SAS,0.46,0.505,0.306,0.419,24,8,27,10,100,21,91,33,10,9,106.83285110171379,118.40640997106611,3.0,2.7,112.32499999999999,16,26
111,88,0,MEM,0.44299999999999995,0.405,0.4,0.2,27,18,17,15,97,12,84,18,19,9,104.1031652989449,82.53223915592028,1.5,1.1333333333333333,106.625,16,24
108,105,1,MIA,0.456,0.447,0.43799999999999994,0.324,24,12,29,17,90,20,94,13,12,14,108.72027180067948,105.70026425066061,2.0,1.7058823529411764,99.3375,16,5
111,126,0,HOU,0.5379999999999999,0.494,0.313,0.441,23,12,24,13,80,27,85,32,7,15,116.21515508441303,131.91990577149588,1.9166666666666667,1.8461538461538463,95.5125,16,19
128,100,0,CHO,0.5329999999999999,0.424,0.41200000000000003,0.24100000000000002,34,15,22,18,92,24,92,18,10,9,117.45813259922,91.76416609314063,2.2666666666666666,1.2222222222222223,108.975,16,9
110,128,0,WAS,0.484,0.509,0.306,0.419,24,22,30,17,91,18,106,10,8,15,104.11736867013724,121.15475627070515,1.0909090909090908,1.7647058823529411,105.65,16,10
110,115,0,BRK,0.467,0.484,0.325,0.41200000000000003,21,14,27,11,90,23,91,19,8,4,103.31063629960084,108.00657431321908,1.5,2.4545454545454546,106.475,16,7
112,104,1,NOP,0.467,0.431,0.25,0.29600000000000004,28,12,27,12,92,25,102,16,8,14,109.0156953400657,101.22885995863244,2.3333333333333335,2.25,102.7375,16,28
99,107,1,MEM,0.493,0.467,0.33299999999999996,0.5379999999999999,27,16,24,9,75,22,90,14,6,9,111.80124223602483,120.83568605307735,1.6875,2.6666666666666665,88.55000000000001,16,24
127,101,0,GSW,0.5529999999999999,0.409,0.39399999999999996,0.25,27,12,28,13,85,27,93,21,6,7,124.0234375,98.6328125,2.25,2.1538461538461537,102.4,16,30
116,117,0,SAC,0.511,0.446,0.4,0.345,25,17,25,14,88,23,101,21,9,16,114.34204041399705,115.32774765894531,1.4705882352941178,1.7857142857142858,101.44999999999999,16,27
107,118,1,LAC,0.414,0.44,0.36700000000000005,0.316,23,17,21,12,87,35,91,34,8,7,96.93126486241648,106.89616125014155,1.3529411764705883,1.75,110.3875,16,17
121,114,1,SAC,0.48,0.484,0.341,0.382,30,14,24,13,98,20,95,12,12,9,111.41804788213629,104.97237569060773,2.142857142857143,1.8461538461538463,108.6,16,27
100,107,1,OKC,0.41600000000000004,0.381,0.259,0.226,24,17,22,11,89,32,105,31,8,17,94.82043380348465,101.45786416972857,1.411764705882353,2.0,105.4625,16,20
112,119,1,NYK,0.439,0.374,0.297,0.297,23,16,20,6,98,20,99,41,12,13,100.91226489469535,107.2192814506138,1.4375,3.3333333333333335,110.9875,16,12
86,108,0,MIN,0.368,0.461,0.22699999999999998,0.344,20,21,24,14,87,28,89,21,12,8,81.02696973265812,101.75479919915205,0.9523809523809523,1.7142857142857142,106.13749999999999,16,29
107,97,0,DAL,0.436,0.419,0.276,0.267,28,13,12,18,94,27,86,24,11,14,98.06392484820712,88.89907205865505,2.1538461538461537,0.6666666666666666,109.11250000000001,16,22
113,100,1,DET,0.561,0.45299999999999996,0.348,0.318,30,14,23,9,82,18,86,14,9,7,121.37486573576798,107.41138560687433,2.142857142857143,2.5555555555555554,93.1,16,13
95,113,0,UTA,0.359,0.396,0.185,0.35700000000000004,14,12,24,16,103,24,96,32,16,15,82.7526132404181,98.4320557491289,1.1666666666666667,1.5,114.80000000000001,16,21
95,101,1,CLE,0.396,0.42700000000000005,0.20600000000000002,0.381,21,11,18,10,91,27,89,23,13,10,93.25153374233128,99.14110429447854,1.9090909090909092,1.8,101.875,16,15
107,100,1,CHI,0.46299999999999997,0.402,0.308,0.29,21,17,21,13,82,34,92,24,13,13,109.4349271286116,102.27563283047813,1.2352941176470589,1.6153846153846154,97.775,16,11
138,128,0,OKC,0.505,0.39399999999999996,0.475,0.40700000000000003,37,23,31,15,99,21,104,36,14,15,117.91092598526114,109.36665598632918,1.608695652173913,2.066666666666667,117.0375,16,20
134,138,0,HOU,0.521,0.42,0.27,0.368,27,15,23,12,96,30,100,36,13,12,118.9261149323275,122.4761482138895,1.8,1.9166666666666667,112.675,16,19
111,130,1,GSW,0.5,0.51,0.25,0.43200000000000005,20,14,41,10,84,38,98,19,7,13,111.51576039181215,130.60404370212234,1.4285714285714286,4.1,99.5375,16,30
105,120,1,MIN,0.506,0.431,0.28600000000000003,0.303,28,19,24,12,87,14,102,25,9,22,109.0767432800935,124.65913517724971,1.4736842105263157,2.0,96.2625,16,29
116,102,1,PHO,0.528,0.4,0.435,0.26899999999999996,28,16,19,16,89,18,85,32,14,15,113.3089133089133,99.63369963369964,1.75,1.1875,102.375,16,25
105,121,1,PHI,0.467,0.452,0.304,0.41700000000000004,26,21,33,12,92,16,93,28,14,12,99.10335063709297,114.20481359131666,1.2380952380952381,2.75,105.94999999999999,16,6
123,120,0,LAC,0.457,0.442,0.423,0.326,28,16,26,8,92,35,104,26,7,12,112.85697901135453,110.10436976717514,1.75,3.25,108.9875,16,17
101,115,0,GSW,0.43799999999999994,0.473,0.259,0.324,23,15,31,10,96,17,91,19,13,7,94.34843531060251,107.42643624474543,1.5333333333333334,3.1,107.05000000000001,16,30
